No,Period,CPI,Gold Reserve,Interest rate (12-24 month),M2 
143,8-2013,52.02%,429.60,9.00%,4039750.00
144,7-2013,50.77%,375.97,9.00%,3981117.00
145,6-2013,50.37%,361.78,10.00%,3973449.00
146,5-2013,50.29%,366.52,11.00%,3899158.00
147,4-2013,50.38%,458.36,10.50%,3866254.00
148,3-2013,50.35%,423.31,11.20%,3842421.00
149,2-2013,50.64%,524.74,12.00%,3786543.00
150,1-2013,48.67%,541.29,12.00%,3766292.00
151,12-2012,46.84%,539.53,11.75%,3702867.00
152,11-2012,46.44%,560.26,12.25%,3519376.00
153,10-2012,45.76%,556.42,13.00%,3441875.00
154,9-2012,44.53%,571.52,12.33%,3408877.00
155,8-2012,41.42%,539.24,12.00%,3371651.00
156,7-2012,40.53%,527.72,12.00%,3338824.00
157,6-2012,40.94%,513.28,11.50%,3306645.00
158,5-2012,41.31%,505.03,12.00%,3247187.00
159,4-2012,41.06%,535.01,12.25%,3184846.00
160,3-2012,40.98%,541.07,13.00%,2887346.22
161,2-2012,1.37%,575.37,14.00%,2832994.71
162,1-2012,38.86%,512.59,14.00%,2835990.97
163,12-2011,37.48%,506.44,14.00%,2818638.68
164,11-2011,36.76%,557.03,14.00%,2698036.26
165,10-2011,36.23%,565.66,14.00%,2680405.25
166,9-2011,35.74%,526.58,14.00%,2742843.11
167,8-2011,34.63%,585.61,14.00%,2791838.91
168,7-2011,33.39%,525.47,14.00%,2649809.88
169,6-2011,31.85%,489.55,14.00%,2611757.28
170,5-2011,30.43%,499.62,14.00%,2547691.50
171,4-2011,27.61%,497.47,14.00%,2539577.51
172,3-2011,23.51%,461.38,14.00%,2550626.64
173,2-2011,20.89%,457.17,14.00%,2572266.49
174,1-2011,18.41%,435.07,14.00%,2776560.33
175,12-2010,16.39%,459.57,13.75%,2555243.85
176,11-2010,14.13%,443.51,12.00%,2431966.25
177,10-2010,12.04%,432.13,11.08%,2408328.18
178,9-2010,10.88%,425.90,11.20%,2397233.92
179,8-2010,9.44%,402.29,11.20%,2327457.42
180,7-2010,9.19%,379.33,11.20%,2288793.92
181,6-2010,9.13%,402.88,11.50%,2280622.38
182,5-2010,8.89%,395.02,11.50%,2185389.10
183,4-2010,8.59%,379.28,11.30%,2129263.36
184,3-2010,8.44%,361.02,10.49%,2086724.97
185,2-2010,7.64%,360.55,10.49%,2050780.32
186,1-2010,5.57%,353.73,10.49%,2080436.74
,,4.15%,356.05,10.49%,1966815.043
